"Course Code","Course Name","Section","Faculty","Schedule","Room"
"CSE 1111","Structured Programming Language","A","Anika Tasnim Rodela","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 304","304"
"CSE 1111","Structured Programming Language","B","Anika Tasnim Rodela","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 304","304"
"CSE 1111","Structured Programming Language","C","Mohammad Nurul Huda","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 304","304"
"CSE 1111","Structured Programming Language","D","Shahil Yasar Haque","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 303","303"
"CSE 1111","Structured Programming Language","E","Hasan Sarwar","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 302","302"
"CSE 1111","Structured Programming Language","F","Anika Tasnim Rodela","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 305","305"
"CSE 1111","Structured Programming Language","G","Nusrat Jahan Tithi","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 302","302"
"CSE 1111","Structured Programming Language","H","Anika Tasnim Rodela","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 302","302"
"CSE 1111","Structured Programming Language","I","Nusrat Jahan Tithi","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 303","303"
"CSE 1111","Structured Programming Language","J","Faria Tabassum","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 304","304"
"CSE 1111","Structured Programming Language","K","Faria Tabassum","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 305","305"
"CSE 1112","Structured Programming Language Laboratory","A","Abu Bakar Fahad","Sunday 14:00-16:30 | 627 - Computer Lab","627 - Computer Lab"
"CSE 1112","Structured Programming Language Laboratory","B","Nabila Sabrin Sworna","Saturday 11:11-13:40 | 327 - Computer Lab","327 - Computer Lab"
"CSE 1112","Structured Programming Language Laboratory","C","Shahil Yasar Haque","Sunday 08:30-11:00 | 326 - Computer Lab","326 - Computer Lab"
"CSE 1112","Structured Programming Language Laboratory","D","Sahid Hossain Mustakim","Sunday 11:11-13:40 | 327 - Computer Lab","327 - Computer Lab"
"CSE 1112","Structured Programming Language Laboratory","E","Sidratul Tanzila Tasmi","Sunday 14:00-16:30 | 522 - Computer Lab","522 - Computer Lab"
"CSE 1112","Structured Programming Language Laboratory","F","Sayeem Been Zaman","Tuesday 08:30-11:00 | 327 - Computer Lab","327 - Computer Lab"
"CSE 1112","Structured Programming Language Laboratory","G","S M Jishanul Islam","Tuesday 11:11-13:40 | 327 - Computer Lab","327 - Computer Lab"
"CSE 1112","Structured Programming Language Laboratory","H","Nabila Sabrin Sworna","Tuesday 14:00-16:30 | 327 - Computer Lab","327 - Computer Lab"
"CSE 1112","Structured Programming Language Laboratory","I","Shahil Yasar Haque","Wednesday 11:11-13:40 | 327 - Computer Lab","327 - Computer Lab"
"CSE 1112","Structured Programming Language Laboratory","J","Sidratul Tanzila Tasmi","Wednesday 14:00-16:30 | 327 - Computer Lab","327 - Computer Lab"
"CSE 1115","Object Oriented Programming","A","Md. Romizul Islam","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 305","305"
"CSE 1115","Object Oriented Programming","B","Nusrat Jahan Tithi","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 305","305"
"CSE 1115","Object Oriented Programming","C","Ashraful Islam Paran","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 305","305"
"CSE 1115","Object Oriented Programming","D","Md. Romizul Islam","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 304","304"
