"Course Code","Course Name","Section","Faculty","Schedule","Room"
"ENG 1011","English I","KA","Md. Kamrul Hasan","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 1030","1030"
"ENG 1011","English I","KC","Md. Kamrul Hasan","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 904 - 0904","904 - 0904"
"ENG 1013","English II","KB","Md. Kamrul Hasan","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 903","903"
"CSE 1105","Introduction to Computer","A","TBA","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 904 - 0904","904 - 0904"
"GED 2005","Bangla Language and Literature","A","TBA","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 1031","1031"
"BDS 1202","History of the Emergence of Bangladesh","EA","TBA","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 903","903"
"BDS 1202","History of the Emergence of Bangladesh","EB","TBA","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 903","903"
"ENG 1102","Introduction to Literature","A","Marzia Shurovi","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 904 - 0904","904 - 0904"
"ENG 1102","Introduction to Literature","B","Marzia Shurovi","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 1028","1028"
"ENG 1103","Introduction to Linguistics","A","TBA","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 903","903"
"ENG 1202","Phonetics and Phonology","A","Muntasir Ahmad","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 903","903"
"ENG 1203","Introduction to Poetry","A","Sadia Afrin","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 811","811"
"ENG 1205","Introduction to Drama","A","Dil Nusrat","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 903","903"
"ENG 2101","Introduction to Prose: Fiction and Non-fiction","A","Tashrifa Fairuz","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 1029","1029"
"ENG 2102","Romantic Literature","A","Chowdhury Omar Sharif","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 728","728"
"ENG 2103","Victorian Prose and Poetry","A","Kirsten Gudgeon","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 904 - 0904","904 - 0904"
"ENG 2201","16th and17th Century Literature","A","Labib Rashid Inan","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 1031","1031"
"ENG 2202","Morphology","A","Tashrifa Fairuz","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 1028","1028"
"ENG 2203","Old and Middle English Literature","A","Kirsten Gudgeon","Saturday 08:30-11:00 | Tuesday 08:30-11:00 | 1029","1029"
"ENG 3101","Restoration and18th Century Literature","A","Labib Rashid Inan","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 811","811"
"ENG 3102","Syntax and Semantics","A (SS)","Md. Kamrul Hasan","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 728","728"
"ENG 3104","Research Methodology","A (SS)","Md. Kamrul Hasan","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 1030","1030"
"ENG 3201","Shakespeare: Poetry and Drama","A","TBA","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 1028","1028"
"ENG 3202","Psycholinguistics and SLA","A (SS)","Tashrifa Fairuz","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 904 - 0904","904 - 0904"
"ENG 3203","Sociolinguistics","A","Sadia Afrin","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 1028","1028"
"GED 2103","English for Specific Purposes","A","Nousin Laila Bristi","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 903","903"
"ENG 2205","English in the Workplace","A","Muntasir Ahmad","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 811","811"
"GED 3101","Introduction to Sociology and Psychology","A","TBA","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 904 - 0904","904 - 0904"
"ENG 2104","History of English Literature","A","Ahmed Abdullah Bin Farooqi Rayhan","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 904 - 0904","904 - 0904"
"ENG 2206","Language Acquisition & Development","A","TBA","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 903","903"
"ENG 3105","English in Media","A","Umme Habiba","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 730","730"
"ENG 3205","Introduction to Critical Theories","A","TBA","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 811","811"
