"Course Code","Course Name","Section","Faculty","Schedule","Room"
"PHY 1202","Physics Lab","A","Rahil Afzal Nihal","Saturday 08:30-11:00 | 704 - Physics Lab","704 - Physics Lab"
"MATH 1101","Differential and Integral Calculus","CA","Joyonty Ghosh","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 729","729"
"CE 1101","Engineering Mechanics","A","Jamil Ahmed Joy","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 729","729"
"ENG 1011","English I","CA","TBA","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 730","730"
"BDS 1201","History of the Emergence of Bangladesh","CA","TBA","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 729","729"
"MATH 1201","Linear Algebra, Ordinary and Partial Differential Equations","CA","Md. Aminur Islam","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 729","729"
"EEE 1201","Basic Electrical Engineering","CA","Md. Iqbal Bahar Chowdhury","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 729","729"
"CE 2111","Mechanics of Solids I","A","Md. Saiful Islam","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 731","731"
"CE 2201","Engineering Geology and Geomorphology","A","Ahnaf Rafi Sharan","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 728","728"
"CE 2211","Mechanics of Solids II","A","Md. Saiful Islam","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 730","730"
"CE 1100","Civil Engineering Drawing I","CA","Shishir Shahriar Arif","Saturday 08:30-11:00 | 705 - Drafting Studio","705 - Drafting Studio"
"CE 1100","Civil Engineering Drawing I","CB","Shishir Shahriar Arif","Tuesday 08:30-11:00 | 705 - Drafting Studio","705 - Drafting Studio"
"CE 1201","Surveying","A","Shahriare Mahmud Sakib","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 729","729"
"CE 2101","Engineering Materials","A","Nafisa Tabassum","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 729","729"
"CE 1202","Practical Surveying","A","Jannatul Ferdows Nowrin","Tuesday 08:30-11:00 | 000 (old)","000 (old)"
"CE 2102","Engineering Materials Laboratory","A","Nafisa Tabassum","Sunday 08:30-11:00 | B004 - Engineering Materials Lab","B004 - Engineering Materials Lab"
"CE 2104","GIS and Remote Sensing Lab","A","Ahnaf Rafi Sharan","Saturday 08:30-11:00 | 726 - Computer Lab","726 - Computer Lab"
"CE 2172","Fluid Mechanics Laboratory","A","Md. Hossain Safayet","Sunday 08:30-11:00 | B005 - Hydraulics Lab","B005 - Hydraulics Lab"
"CE 2212","Structural Mechanics and Materials Laboratory","A","Jannatul Ferdows Nowrin","Wednesday 08:30-11:00 | B003 - Structural Mechanical & Materials Lab","B003 - Structural Mechanical & Materials Lab"
"CE 3211","Design of Steel Structures","A","Shahriare Mahmud Sakib","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 730","730"
"CE 4111","Structural Analysis and Design II","A","Jamil Ahmed Joy","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 731","731"
"CE 3112","Reinforced Concrete Structure Design Laboratory","A","Jamil Ahmed Joy","Tuesday 14:00-16:30 | 726 - Computer Lab","726 - Computer Lab"
"CE 3212","Steel Structure Design Laboratory","A","Shahriare Mahmud Sakib","Wednesday 14:00-16:30 | 726 - Computer Lab","726 - Computer Lab"
"CE 4110","Computer Applications in Civil Engineering","A","TBA","Saturday 14:00-16:30 | 726 - Computer Lab","726 - Computer Lab"
"CE 3131","Water Supply Engineering","A","Rumana Afrin","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 725","725"
"CE 3231","Wastewater Engineering","A","Md. Mujibur Rahman","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 1028","1028"
"CE 3241","Soil Mechanics","A","Md. Hossain Safayet","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 729","729"
"CE 4141","Foundation Engineering","A","Md. Hossain Safayet","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 729","729"
"CE 3251","Transportation Planning and Traffic Engineering","A","Shishir Shahriar Arif","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 728","728"
"CE 3171","Open Channel Flow","A","Ahnaf Rafi Sharan","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 725","725"
"CE 4171","Irrigation and Flood Control","A","Ahnaf Rafi Sharan","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 725","725"
"CE 4231","Solid and Hazardous Waste Management","A","TBA","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 730","730"
"CE 4251","Traffic Engineering Design and Management","A","Nafisa Tabassum","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 1031","1031"
"CE 4201","Engineering Ethics and Professional Practices","A","TBA","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 728","728"
"ARCH 3200","Architectural, Engineering & Planning Appreciation","A","Jannatul Ferdows Nowrin","Saturday 14:00-16:30 | 000 (old)","000 (old)"
"CE 4202","Industrial Attachment and Professional Practices","A","Abdullah Al-Muyeed","Tuesday 14:00-16:30 | 903","903"
"CE 4100C","Final Year Design Project III","A","Nafisa Tabassum","Tuesday 08:30-11:00 | 726 - Computer Lab","726 - Computer Lab"
