"Course Code","Course Name","Section","Faculty","Schedule","Room"
"CSE 1111","Structured Programming Language","A","Anika Tasnim Rodela","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 801","801"
"CSE 1111","Structured Programming Language","B","Anika Tasnim Rodela","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 801","801"
"CSE 1111","Structured Programming Language","C","Mohammad Nurul Huda","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 801","801"
"CSE 1111","Structured Programming Language","D","Sadia Islam","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 801","801"
"CSE 1111","Structured Programming Language","E","Hasan Sarwar","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 801","801"
"CSE 1111","Structured Programming Language","F","TBA","Saturday 15:11-16:30 | Tuesday 15:11-16:30 | 801","801"
"CSE 1111","Structured Programming Language","G","TBA","Saturday 15:11-16:30 | Tuesday 15:11-16:30 | 802","802"
"CSE 1111","Structured Programming Language","H","Anika Tasnim Rodela","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 801","801"
"CSE 1111","Structured Programming Language","I","Faria Tabassum","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 801","801"
"CSE 1111","Structured Programming Language","J","Anika Tasnim Rodela","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 801","801"
"CSE 1111","Structured Programming Language","K","TBA","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 801","801"
"CSE 1111","Structured Programming Language","L","Faria Tabassum","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 801","801"
"CSE 1111","Structured Programming Language","M","TBA","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 801","801"
"CSE 1111","Structured Programming Language","N","TBA","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 802","802"
"CSE 1112","Structured Programming Language Laboratory","A","TBA","Saturday 08:30-11:00 | 424 - Computer Lab","424 - Computer Lab"
"CSE 1112","Structured Programming Language Laboratory","B","Nabila Sabrin Sworna","Saturday 11:11-13:40 | 424 - Computer Lab","424 - Computer Lab"
