"Course Code","Course Name","Section","Faculty","Schedule","Room"
"CSE 2213","Discrete Mathematics","A","Minhajul Bashir","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 308","308"
"CSE 2213","Discrete Mathematics","B","Rakibul Hasan Rafi","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 309","309"
"CSE 2213","Discrete Mathematics","C","Rakibul Hasan Rafi","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 308","308"
"CSE 2213","Discrete Mathematics","D","TBA","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 304","304"
"CSE 2213","Discrete Mathematics","E","Minhajul Bashir","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 308","308"
"CSE 2213","Discrete Mathematics","F","Minhajul Bashir","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 329","329"
"CSE 2213","Discrete Mathematics","G","Saqif Kaisar","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 308","308"
"CSE 2213","Discrete Mathematics","H","Nusaiba Zaman Manifa","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 308","308"
"CSE 2213","Discrete Mathematics","I","Nusaiba Zaman Manifa","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 308","308"
"CSE 2213","Discrete Mathematics","BA","Didarul Islam Didar","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 308","308"
"CSE 2213","Discrete Mathematics","BB","Didarul Islam Didar","Saturday 15:11-16:30 | Tuesday 15:11-16:30 | 306","306"
"CSE 2215","Data Structure and Algorithms I","BA","Charles Aunkan Gomes","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 322","322"
"CSE 2215","Data Structure and Algorithms I","BB","Charles Aunkan Gomes","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 309","309"
"CSE 2216","Data Structure and Algorithms I Laboratory","BA","Charles Aunkan Gomes","Sunday 08:30-11:00 | 427 - Computer Lab","427 - Computer Lab"
"CSE 2216","Data Structure and Algorithms I Laboratory","BB","Charles Aunkan Gomes","Wednesday 08:30-11:00 | 427 - Computer Lab","427 - Computer Lab"
"CSE 2216","Data Structure and Algorithms I Laboratory","BC","Charles Aunkan Gomes","Tuesday 14:00-16:30 | 523 - Computer Lab","523 - Computer Lab"
"CSE 2217","Data Structure and Algorithms II","BA","Umama Rahman","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 323","323"
"CSE 2217","Data Structure and Algorithms II","BB","Umama Rahman","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 322","322"
"CSE 2218","Data Structure and Algorithms II Laboratory","BA","Umama Rahman","Sunday 14:00-16:30 | 427 - Computer Lab","427 - Computer Lab"
"CSE 2218","Data Structure and Algorithms II Laboratory","BB","Umama Rahman","Wednesday 14:00-16:30 | 427 - Computer Lab","427 - Computer Lab"
"CSE 3521","Database Management Systems","BA","FAH","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 401","401"
"CSE 3521","Database Management Systems","BB","FAH","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 330","330"
"CSE 3522","Database Management Systems Laboratory","BA","FAH","Saturday 11:11-13:40 | 423 - Computer Lab","423 - Computer Lab"
"CSE 3522","Database Management Systems Laboratory","BB","FAH","Tuesday 11:11-13:40 | 422 - Computer Lab","422 - Computer Lab"
"BIO 3105","Biology for Engineers","A","Sakibul Satter Shupto","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 305","305"
"BIO 3105","Biology for Engineers","B","Hasin Anupama Azhari","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 306","306"
"BIO 3105","Biology for Engineers","C","Hasin Anupama Azhari","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 306","306"
"BIO 3105","Biology for Engineers","D","Sakibul Satter Shupto","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 304","304"
"BIO 3105","Biology for Engineers","E","Fariha Yousuf Monia","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 303","303"
"BIO 3105","Biology for Engineers","F","Sakibul Satter Shupto","Saturday 15:11-16:30 | Tuesday 15:11-16:30 | 303","303"
"BIO 3105","Biology for Engineers","G","Md. Sanzed Alam","Saturday 15:11-16:30 | Tuesday 15:11-16:30 | 304","304"
"BIO 3105","Biology for Engineers","H","Md. Sanzed Alam","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 304","304"
"BIO 3105","Biology for Engineers","I","Mr. Md. Zubayer Alvi","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 304","304"
"BIO 3105","Biology for Engineers","J","Hasin Anupama Azhari","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 306","306"
"BIO 3105","Biology for Engineers","K","Muhammad Sibgatullah Zunnun","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 306","306"
"BIO 3105","Biology for Engineers","L","Mahir Amer Haque","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 305","305"
"BIO 3105","Biology for Engineers","M","Md. Sanzed Alam","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 304","304"
"BIO 3105","Biology for Engineers","N","Mahir Amer Haque","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 305","305"
"BIO 3105","Biology for Engineers","O","Mahir Amer Haque","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 305","305"
"ENG 1011","English I","AA","Dil Nusrat","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 631","631"
"ENG 1011","English I","AB","Ahmed Abdullah Bin Farooqi Rayhan","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 631","631"
"ENG 1011","English I","AC","Ahmed Abdullah Bin Farooqi Rayhan","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 604","604"
"ENG 1011","English I","AD","IZn","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 604","604"
"ENG 1011","English I","AE","ChMR","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 601","601"
"ENG 1011","English I","AF","MMUh","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 632","632"
"ENG 1011","English I","AG","MMUh","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 632","632"
"ENG 1011","English I","AH","Dil Nusrat","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 605","605"
"ENG 1011","English I","AJ","Chowdhury Omar Sharif","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 603","603"
"ENG 1011","English I","AK","SaHsn","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 432","432"
"ENG 1011","English I","AL","TBA","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 432","432"
"ENG 1011","English I","AM","Ahmed Abdullah Bin Farooqi Rayhan","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 603","603"
"ENG 1011","English I","AN","SaHsn","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 601","601"
"ENG 1011","English I","AO","SaHsn","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 431","431"
"ENG 1011","English I","AP","TBA","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 604","604"
"ENG 1011","English I","AQ","MSIsm","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 601","601"
"ENG 1011","English I","AT","Md. Maruf Jihan Shoyeb","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 605","605"
"ENG 1011","English I","AU","Muntasir Ahmad","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 602","602"
"ENG 1011","English I","AW","Sadia Islam","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 630","630"
"ENG 1011","English I","AX","IZn","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 602","602"
"ENG 1011","English I","AI","Sajjad Hossain","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 605","605"
