"Course Code","Course Name","Section","Faculty","Schedule","Room"
"URC 4001","Employment Readiness Skills","A","Sheikh Mohammad Shafiul Islam","Tuesday 11:11-13:50 | 809","809"
"URC 1001","Soft Skills and Art of Presentation","A","Umme Ammara","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 806","806"
"MSJ 1102","Information Gathering and News Writing","SS","Umme Ammara","Saturday 15:11-16:30 | Tuesday 15:11-16:30 | 624 - Multimedia Lab","624 - Multimedia Lab"
"MSJ 1103","Introduction to Editing","SS","Kazi Kamrun Nahar Tania","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 624 - Multimedia Lab","624 - Multimedia Lab"
"MSJ 2104","News Reporting","A","Kazi Kamrun Nahar Tania","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 806","806"
"MSJ 2204","Video Production Lab","A","Umme Ammara","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 624 - Multimedia Lab","624 - Multimedia Lab"
"MSJ 2205","Media Laws and Ethics","A","Sumia Zahid","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 807","807"
"MSJ 3301","Advertising and Content Creation","A","Kazi Kamrun Nahar Tania","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 809","809"
"MSJ 4303","Digital Marketing","A","Sumia Zahid","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 806","806"
"MSJ 4304","Digital Marketing Lab","A","Sumia Zahid","Monday 12:31-13:50 | 624 - Multimedia Lab","624 - Multimedia Lab"
"MSJ 4407","Theories of Communication","A","TBA","Saturday 11:11-13:50 | 809","809"
"MSJ 2002","Media Industry and Business Planning","A","Sumia Zahid","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 807","807"
"MSJ 2004","Animation in Journalism","A","Kazi Kamrun Nahar Tania","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 624 - Multimedia Lab","624 - Multimedia Lab"
"MSJ 1301","Introduction to Human Communication","A","Sheikh Mohammad Shafiul Islam","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 806","806"
"MSJ 1204","Media and Communication Technology","A","Sumia Zahid","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 807","807"
"MSJ 1104","Information Gathering and Reporting","A","Umme Ammara","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 806","806"
"MSJ 1303","Social and Digital Media Communication","A","Umme Ammara","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 806","806"
