"Course Code","Course Name","Section","Faculty","Schedule","Room"
"BUS 3339","Business Research Methodology","A","Muhammad Hasan Al-Mamun","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 211","211"
"BUS 3339","Business Research Methodology","B","Muhammad Hasan Al-Mamun","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 222","222"
"BUS 3339","Business Research Methodology","C","Muhammad Hasan Al-Mamun","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 208","208"
"BUS 3339","Business Research Methodology","D (IF REQ)","TBA","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 223","223"
"SOC 1105","Sociology and Psychology","A","Ishrat Sultana","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 206","206"
"SOC 1105","Sociology and Psychology","B","Shayla Khanam","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 205","205"
"SOC 1105","Sociology and Psychology","C","Ishrat Sultana","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 204","204"
"ACN 2215","Management Accounting","A","Salma Karim","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 210","210"
"ACN 2215","Management Accounting","B","Salma Karim","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 210","210"
"ACN 2215","Management Accounting","C","Mohammad Shamsul Alam Wasimi","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 210","210"
"ACN 2215","Management Accounting","D","Mohammad Shamsul Alam Wasimi","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 207","207"
"ACN 2215","Management Accounting","E","Mohammad Shamsul Alam Wasimi","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 208","208"
"ACN 2215","Management Accounting","F (IF REQ)","TBA","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 211","211"
"CST 2321","Business Analytics","A","Ahmed Imran Kabir","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 227 - Computer Lab","227 - Computer Lab"
"CST 2321","Business Analytics","B","Nafisa Rahman","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 227 - Computer Lab","227 - Computer Lab"
"CST 2321","Business Analytics","C","Nafisa Rahman","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 227 - Computer Lab","227 - Computer Lab"
"CST 2321","Business Analytics","D","Ahmed Imran Kabir","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 227 - Computer Lab","227 - Computer Lab"
"CST 2321","Business Analytics","E","Nafisa Rahman","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 524 - Computer Lab","524 - Computer Lab"
"ACN 4135","Taxation","A","Mohammad Tariq Hasan","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 205","205"
"ACN 4135","Taxation","B","Mohammad Tariq Hasan","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 205","205"
"ACN 4135","Taxation","C","Mofijul Hoq Masum","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 223","223"
"ACN 4136","Advanced Financial Accounting - I","A","Mohammad Tariq Hasan","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 205","205"
"MIS 2218","Advanced Computer Applications in Business","A","Ahmed Imran Kabir","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 226 - Computer Lab","226 - Computer Lab"
"MIS 2218","Advanced Computer Applications in Business","B","Abdullah Al Fahad","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 227 - Computer Lab","227 - Computer Lab"
"MIS 2218","Advanced Computer Applications in Business","C","Rukaiya Rob","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 226 - Computer Lab","226 - Computer Lab"
