"Course Code","Course Name","Section","Faculty","Schedule","Room"
"ECO 2365","Environmental Economics","A","Mohammad Omar Farooq","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 225","225"
"ECO 3301","Intermediate Microeconomics II","A","Musharrat Shabnam Shuchi","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 223","223"
"ECO 3311","Public Finance","A","Musharrat Shabnam Shuchi","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 301","301"
"ECO 3326","International Trade","A","Mohammad Akhtaruzzaman","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 301","301"
"ECO 3371","Econometrics II","A","Tanseer Ahamed","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 524 - Computer Lab","524 - Computer Lab"
"ECO 4394","Guided Research / Internship","A","TBA","Schedule TBA","TBA"
"ECO 3331","Economics of Cost Benefit Analysis","A","TBA","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 301","301"
"ECO 1334","Statistics for Business and Economics I","A","TBA","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 205","205"
"ECO 2302","Intermediate Macroeconomic Theory I","A","Tasneem Jahan Tumpa","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 301","301"
"ECO 2303","Mathematics for Business and Economics II","A","Sayeda Chandra Tabassum","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 223","223"
"ECO 3310","Money and Banking","A","Mohammad Omar Farooq","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 225","225"
"ECO 3360","Socioeconomic Profiles of Bangladesh","A","Mohammad Ali Ashraf","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 223","223"
"ECO 4350","Labor Economics","A","Sayeda Chandra Tabassum","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 301","301"
"ECO 4353","Game Theory and Applications","A","Sayeda Chandra Tabassum","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 209","209"
"ECO 4380","Urban Economics","SS","TBA","Schedule TBA","TBA"
"ECO 4388","Economics of Climate Change","A","Tanseer Ahamed","Sunday 15:11-16:30 | Wednesday 15:11-16:30 | 206","206"
"ECO 4391","Welfare Economics","A","Mohammad Ali Ashraf","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 301","301"
