"Course Code","Course Name","Section","Faculty","Schedule","Room"
"ENG 1011","English I","EA","Md. Maruf Jihan Shoyeb","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 901 - 0901","901 - 0901"
"ENG 1013","English II","EB","Mir Md. Fazle Rabbi","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 903","903"
"EDS 1102","Population, Poverty and the Environment","A","Oliver Tirtho Sarkar","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 902 - 0902","902 - 0902"
"EDS 2401","Gender and Sustainable Development","A","Taniah Mahmuda Tinni","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 732","732"
"EDS 3602","Urban Development and Environmental Management","A","Sharif Ahmed Mukul","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 901 - 0901","901 - 0901"
"EDS 4801","Techniques of Environmental Valuation","A","TBA","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 732","732"
"EDS 2403","Environmental Law","A","Oliver Tirtho Sarkar","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 732","732"
"EDS 2404","Environmental Biology, Ecology and Conservation","A","Sharif Ahmed Mukul","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 902 - 0902","902 - 0902"
"EDS 3503","Environmental Ethics","A","TBA","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 1029","1029"
"EDS 3604","Environment, Health and Safety","A","Naima Ansar Khan","Sunday 08:30-09:50 | Wednesday 08:30-11:30 | 808","808"
"EDS 3605","Environmental Economics","A","TBA","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 903","903"
"GEN 1201","Bangladesh Studies","A","Mallika Datta","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 722","722"
"EDS 3509","Environmental Analysis","A","Naima Ansar Khan","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 732","732"
"EDS 4709","Environmental Hazards and Disaster Management","A","Shantanu Kumar Saha","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 732","732"
"EDS 4805","Environmental and Social Impact Assessment","A","Shantanu Kumar Saha","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 904 - 0904","904 - 0904"
"EDS 4710","Qualitative Research Methodology","A","TBA","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 808","808"
"EDS 1104","Introduction to Environmental Studies","A","Sharif Ahmed Mukul","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 808","808"
"EDS 1204","Introduction to Development Studies","A","Oliver Tirtho Sarkar","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 732","732"
"EDS 1103","Population and Poverty Lab","A","TBA","Schedule TBA","TBA"
"EDS 4810","Research Project/Monograph I","A","TBA","Schedule TBA","TBA"
"EDS 4811","Research Project/Monograph II","A","TBA","Schedule TBA","TBA"
"EDS 4812","Practicum and Internship I","A","TBA","Schedule TBA","TBA"
"EDS 4813","Practicum and Internship II","A","TBA","Schedule TBA","TBA"
"STAT 2405","Statistics","A","TBA","Sunday 11:11-12:30 | Wednesday 11:11-12:30 | 901 - 0901","901 - 0901"
"EDS 2407","Environmental Biology Lab","A","TBA","Schedule TBA","TBA"
"EDS 4711","Coastal Zone Management","A","TBA","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 902 - 0902","902 - 0902"
